-0.40474,-0.38045,0.55902,-0.48287,0.15,-0.79388,-0.37918,-1,-1,1
-0.53644,-0.56992,0.56793,-0.33956,0.1,-0.81643,-0.42379,-1,-1,2
-0.40474,-0.25414,0.55011,-0.30218,0.010714,-0.80998,-0.44238,-1,-1,1
-0.83845,0.10376,-0.22494,-0.22118,0.69286,-1,-0.59851,-1,-1,4
1,-0.52782,-1,-0.55763,-0.875,-0.96135,1,-1,-0.058824,3
-0.5259,-0.39248,0.26949,-0.28349,0.23571,-0.81643,-0.37546,-0.93016,-0.13725,3
-0.41703,-0.12481,0.62584,-0.7757,0.13929,-0.98068,-0.34944,-1,-1,2
-0.36611,-0.27519,0.26503,-0.38318,0.085714,-0.82287,-0.32342,-1,-1,1
-0.62248,0.025564,-1,0.4891,0.27857,-0.97424,-0.32342,-0.6127,-0.80392,5
-0.40825,-0.26015,0.73719,-0.37072,-0.1,-0.82287,-0.44052,-1,0.098039,3
-0.55224,-0.20902,0.59465,-0.25234,0.039286,-0.85507,-0.48327,-1,-1,3
-0.44864,-0.55789,0.44766,-0.45794,0.33571,-0.80032,-0.35502,-1,-0.058824,3
-0.027217,-0.25414,0.67929,-0.68847,-0.22143,-0.95813,-0.14684,-1,-1,1
-0.11677,-0.0075188,0.67483,-0.81931,-0.29286,-0.96457,-0.21561,-1,-1,2
-0.51712,-0.27519,0.53675,-0.084112,-0.046429,-0.80676,-0.45167,-1,-0.33333,2
-0.48025,-0.17293,0.55011,-0.11526,-0.032143,-0.80032,-0.52416,-1,-1,3
-0.46971,0.20902,-1,0.065421,0.14643,-1,-0.42379,0.0095238,-0.68627,5
-0.54873,-0.40451,0.4833,-0.25234,0.23929,-0.78422,-0.4777,-1,-1,3
-0.22827,-0.23609,-1,-0.084112,0.15,-0.84863,0.094796,-1,-1,6
-0.38894,-0.32932,0.31849,-0.28972,0.11071,-0.80676,-0.37546,-0.91111,-1,3
-0.089552,-0.30226,0.62584,-0.63863,-0.13929,-0.93881,-0.17844,-1,-0.33333,1
0.19403,-0.78346,-1,-0.0093458,-0.15,-0.73913,0.45167,-1,0.33333,3
-0.3626,-0.33835,0.66592,-0.4891,-0.11786,-0.79388,-0.34387,-1,-0.13725,3
-0.43898,-0.2,0.63029,-0.43925,0.064286,-0.81643,-0.47212,-1,-0.56863,1
-0.17208,-0.36241,-0.28285,0.17134,-0.15357,-0.75523,-0.20632,-0.84762,1,6
-0.6014,-0.24511,0.55457,-0.2648,0.22857,-0.87762,-0.51673,-1,-1,3
-0.58297,-0.37143,0.56793,0.0031153,0.089286,-0.77778,-0.52788,-1,-1,3
-0.50132,0.15188,-1,0.05296,0.24286,-1,-0.42565,-0.0031746,-0.72549,5
-0.49781,-0.24812,0.57684,-0.25857,0.082143,-0.81965,-0.50372,-1,-1,3
